Title_GoldenGlobes,Title_Oscars,Similarity,Verification,Year_GG,Year_Oscars,year_film_x,year_award,ceremony_x,category_x,nominee,film_x,gg_win,standardized_film_goldenglobes,year_film_y,year_ceremony,ceremony_y,category_y,name,film_y,oscar_win,standardized_film_oscars
tom sawyer,tom sawyer,1,TRUE,1973,1973,1973,1974,31,Best Original Score - Motion Picture,Richard M. Sherman,Tom Sawyer,FALSE,tom sawyer,1973,1974,46,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Song Score by Richard M. Sherman and Robert B. Sherman; Adaptation Score by John Williams,Tom Sawyer,FALSE,tom sawyer
blue sky,blue sky,1,TRUE,1994,1994,1994,1995,52,Best Performance by an Actress in a Motion Picture - Drama,Jessica Lange,Blue Sky,TRUE,blue sky,1994,1995,67,ACTRESS IN A LEADING ROLE,Jessica Lange,Blue Sky,TRUE,blue sky
mr hollands opus,mr hollands opus,1,TRUE,1995,1995,1995,1996,53,Best Performance by an Actor in a Motion Picture - Drama,Richard Dreyfuss,Mr. Holland's Opus,FALSE,mr hollands opus,1995,1996,68,ACTOR IN A LEADING ROLE,Richard Dreyfuss,Mr. Holland's Opus,FALSE,mr hollands opus
mr hollands opus,mr hollands opus,1,TRUE,1995,1995,1995,1996,53,Best Screenplay - Motion Picture,Patrick Sheane Duncan,Mr. Holland's Opus,FALSE,mr hollands opus,1995,1996,68,ACTOR IN A LEADING ROLE,Richard Dreyfuss,Mr. Holland's Opus,FALSE,mr hollands opus
kiss of death,kiss of death,1,TRUE,1947,1947,1947,1948,5,New Star Of The Year - Actor,Richard Widmark,Kiss Of Death,TRUE,kiss of death,1947,1948,20,ACTOR IN A SUPPORTING ROLE,Richard Widmark,Kiss of Death,FALSE,kiss of death
kiss of death,kiss of death,1,TRUE,1947,1947,1947,1948,5,New Star Of The Year - Actor,Richard Widmark,Kiss Of Death,TRUE,kiss of death,1947,1948,20,WRITING (Motion Picture Story),Eleazar Lipsky,Kiss of Death,FALSE,kiss of death
black narcissus,black narcissus,1,TRUE,1947,1947,1947,1948,5,Cinematography,Jack Cardiff,Black Narcissus,TRUE,black narcissus,1947,1948,20,ART DIRECTION (Color),Art Direction:  Alfred Junge;  Set Decoration:  Alfred Junge,Black Narcissus,TRUE,black narcissus
black narcissus,black narcissus,1,TRUE,1947,1947,1947,1948,5,Cinematography,Jack Cardiff,Black Narcissus,TRUE,black narcissus,1947,1948,20,CINEMATOGRAPHY (Color),Jack Cardiff,Black Narcissus,TRUE,black narcissus
the red shoes,the red shoes,1,TRUE,1948,1948,1948,1949,6,Best Original Score - Motion Picture,Brian Easdale,The Red Shoes,TRUE,the red shoes,1948,1949,21,ART DIRECTION (Color),Art Direction:  Hein Heckroth;  Set Decoration:  Arthur Lawson,The Red Shoes,TRUE,the red shoes
the red shoes,the red shoes,1,TRUE,1948,1948,1948,1949,6,Best Original Score - Motion Picture,Brian Easdale,The Red Shoes,TRUE,the red shoes,1948,1949,21,FILM EDITING,Reginald Mills,The Red Shoes,FALSE,the red shoes
the red shoes,the red shoes,1,TRUE,1948,1948,1948,1949,6,Best Original Score - Motion Picture,Brian Easdale,The Red Shoes,TRUE,the red shoes,1948,1949,21,MUSIC (Music Score of a Dramatic or Comedy Picture),Brian Easdale,The Red Shoes,TRUE,the red shoes
the red shoes,the red shoes,1,TRUE,1948,1948,1948,1949,6,Best Original Score - Motion Picture,Brian Easdale,The Red Shoes,TRUE,the red shoes,1948,1949,21,BEST MOTION PICTURE,J. Arthur Rank-Archers,The Red Shoes,FALSE,the red shoes
the red shoes,the red shoes,1,TRUE,1948,1948,1948,1949,6,Best Original Score - Motion Picture,Brian Easdale,The Red Shoes,TRUE,the red shoes,1948,1949,21,WRITING (Motion Picture Story),Emeric Pressburger,The Red Shoes,FALSE,the red shoes
edward my son,edward my son,1,TRUE,1949,1949,1949,1950,7,Actress In A Leading Role,Deborah Kerr,"Edward, My Son",FALSE,edward my son,1949,1950,22,ACTRESS,Deborah Kerr,"Edward, My Son",FALSE,edward my son
born yesterday,born yesterday,1,TRUE,1950,1950,1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Judy Holliday,Born Yesterday,FALSE,born yesterday,1950,1951,23,ACTRESS,Judy Holliday,Born Yesterday,TRUE,born yesterday
born yesterday,born yesterday,1,TRUE,1950,1950,1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Judy Holliday,Born Yesterday,FALSE,born yesterday,1950,1951,23,COSTUME DESIGN (Black-and-White),Jean Louis,Born Yesterday,FALSE,born yesterday
born yesterday,born yesterday,1,TRUE,1950,1950,1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Judy Holliday,Born Yesterday,FALSE,born yesterday,1950,1951,23,DIRECTING,George Cukor,Born Yesterday,FALSE,born yesterday
born yesterday,born yesterday,1,TRUE,1950,1950,1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Judy Holliday,Born Yesterday,FALSE,born yesterday,1950,1951,23,BEST MOTION PICTURE,Columbia,Born Yesterday,FALSE,born yesterday
born yesterday,born yesterday,1,TRUE,1950,1950,1950,1951,8,Best Performance by an Actress in a Motion Picture - Drama,Judy Holliday,Born Yesterday,FALSE,born yesterday,1950,1951,23,WRITING (Screenplay),Albert Mannheimer,Born Yesterday,FALSE,born yesterday
born yesterday,born yesterday,1,TRUE,1950,1950,1950,1951,8,Best Director - Motion Picture,George Cukor,Born Yesterday,FALSE,born yesterday,1950,1951,23,ACTRESS,Judy Holliday,Born Yesterday,TRUE,born yesterday
born yesterday,born yesterday,1,TRUE,1950,1950,1950,1951,8,Best Director - Motion Picture,George Cukor,Born Yesterday,FALSE,born yesterday,1950,1951,23,COSTUME DESIGN (Black-and-White),Jean Louis,Born Yesterday,FALSE,born yesterday
born yesterday,born yesterday,1,TRUE,1950,1950,1950,1951,8,Best Director - Motion Picture,George Cukor,Born Yesterday,FALSE,born yesterday,1950,1951,23,DIRECTING,George Cukor,Born Yesterday,FALSE,born yesterday
born yesterday,born yesterday,1,TRUE,1950,1950,1950,1951,8,Best Director - Motion Picture,George Cukor,Born Yesterday,FALSE,born yesterday,1950,1951,23,BEST MOTION PICTURE,Columbia,Born Yesterday,FALSE,born yesterday
born yesterday,born yesterday,1,TRUE,1950,1950,1950,1951,8,Best Director - Motion Picture,George Cukor,Born Yesterday,FALSE,born yesterday,1950,1951,23,WRITING (Screenplay),Albert Mannheimer,Born Yesterday,FALSE,born yesterday
born yesterday,born yesterday,1,TRUE,1950,1950,1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Judy Holliday,Born Yesterday,TRUE,born yesterday,1950,1951,23,ACTRESS,Judy Holliday,Born Yesterday,TRUE,born yesterday
born yesterday,born yesterday,1,TRUE,1950,1950,1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Judy Holliday,Born Yesterday,TRUE,born yesterday,1950,1951,23,COSTUME DESIGN (Black-and-White),Jean Louis,Born Yesterday,FALSE,born yesterday
born yesterday,born yesterday,1,TRUE,1950,1950,1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Judy Holliday,Born Yesterday,TRUE,born yesterday,1950,1951,23,DIRECTING,George Cukor,Born Yesterday,FALSE,born yesterday
born yesterday,born yesterday,1,TRUE,1950,1950,1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Judy Holliday,Born Yesterday,TRUE,born yesterday,1950,1951,23,BEST MOTION PICTURE,Columbia,Born Yesterday,FALSE,born yesterday
born yesterday,born yesterday,1,TRUE,1950,1950,1950,1951,8,Actress In A Leading Role - Musical Or Comedy,Judy Holliday,Born Yesterday,TRUE,born yesterday,1950,1951,23,WRITING (Screenplay),Albert Mannheimer,Born Yesterday,FALSE,born yesterday
harvey,harvey,1,TRUE,1950,1950,1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,James Stewart,Harvey,FALSE,harvey,1950,1951,23,ACTOR,James Stewart,Harvey,FALSE,harvey
harvey,harvey,1,TRUE,1950,1950,1950,1951,8,Best Performance by an Actor in a Motion Picture - Drama,James Stewart,Harvey,FALSE,harvey,1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Josephine Hull,Harvey,TRUE,harvey
harvey,harvey,1,TRUE,1950,1950,1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Josephine Hull,Harvey,TRUE,harvey,1950,1951,23,ACTOR,James Stewart,Harvey,FALSE,harvey
harvey,harvey,1,TRUE,1950,1950,1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Josephine Hull,Harvey,TRUE,harvey,1950,1951,23,ACTRESS IN A SUPPORTING ROLE,Josephine Hull,Harvey,TRUE,harvey
adams rib,adams rib,1,TRUE,1950,1950,1950,1951,8,Best Performance by an Actress in a Supporting Role in any Motion Picture,Judy Holliday,Adam's Rib,FALSE,adams rib,1950,1951,23,WRITING (Story and Screenplay),"Ruth Gordon, Garson Kanin",Adam's Rib,FALSE,adams rib
the blue veil,the blue veil,1,TRUE,1951,1951,1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Jane Wyman,The Blue Veil,TRUE,the blue veil,1951,1952,24,ACTRESS,Jane Wyman,The Blue Veil,FALSE,the blue veil
the blue veil,the blue veil,1,TRUE,1951,1951,1951,1952,9,Best Performance by an Actress in a Motion Picture - Drama,Jane Wyman,The Blue Veil,TRUE,the blue veil,1951,1952,24,ACTRESS IN A SUPPORTING ROLE,Joan Blondell,The Blue Veil,FALSE,the blue veil
on the riviera,on the riviera,1,TRUE,1951,1951,1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,On The Riviera,TRUE,on the riviera,1951,1952,24,ART DIRECTION (Color),"Art Direction:  Lyle Wheeler, Leland Fuller;  Musical Settings:  Joseph C. Wright;  Set Decoration:  Thomas Little, Walter M. Scott",On the Riviera,FALSE,on the riviera
on the riviera,on the riviera,1,TRUE,1951,1951,1951,1952,9,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,On The Riviera,TRUE,on the riviera,1951,1952,24,MUSIC (Scoring of a Musical Picture),Alfred Newman,On the Riviera,FALSE,on the riviera
lili,lili,1,TRUE,1953,1953,1953,1954,11,Best Screenplay - Motion Picture,Helen Deutsch,Lili,TRUE,lili,1953,1954,26,ACTRESS,Leslie Caron,Lili,FALSE,lili
lili,lili,1,TRUE,1953,1953,1953,1954,11,Best Screenplay - Motion Picture,Helen Deutsch,Lili,TRUE,lili,1953,1954,26,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Arthur Krams",Lili,FALSE,lili
lili,lili,1,TRUE,1953,1953,1953,1954,11,Best Screenplay - Motion Picture,Helen Deutsch,Lili,TRUE,lili,1953,1954,26,CINEMATOGRAPHY (Color),Robert Planck,Lili,FALSE,lili
lili,lili,1,TRUE,1953,1953,1953,1954,11,Best Screenplay - Motion Picture,Helen Deutsch,Lili,TRUE,lili,1953,1954,26,DIRECTING,Charles Walters,Lili,FALSE,lili
lili,lili,1,TRUE,1953,1953,1953,1954,11,Best Screenplay - Motion Picture,Helen Deutsch,Lili,TRUE,lili,1953,1954,26,MUSIC (Music Score of a Dramatic or Comedy Picture),Bronislau Kaper,Lili,TRUE,lili
lili,lili,1,TRUE,1953,1953,1953,1954,11,Best Screenplay - Motion Picture,Helen Deutsch,Lili,TRUE,lili,1953,1954,26,WRITING (Screenplay),Helen Deutsch,Lili,FALSE,lili
written on the wind,written on the wind,1,TRUE,1956,1956,1956,1957,14,Best Performance by an Actress in a Supporting Role in any Motion Picture,Dorothy Malone,Written on the Wind,FALSE,written on the wind,1956,1957,29,ACTOR IN A SUPPORTING ROLE,Robert Stack,Written on the Wind,FALSE,written on the wind
written on the wind,written on the wind,1,TRUE,1956,1956,1956,1957,14,Best Performance by an Actress in a Supporting Role in any Motion Picture,Dorothy Malone,Written on the Wind,FALSE,written on the wind,1956,1957,29,ACTRESS IN A SUPPORTING ROLE,Dorothy Malone,Written on the Wind,TRUE,written on the wind
written on the wind,written on the wind,1,TRUE,1956,1956,1956,1957,14,Best Performance by an Actress in a Supporting Role in any Motion Picture,Dorothy Malone,Written on the Wind,FALSE,written on the wind,1956,1957,29,MUSIC (Song),Music by Victor Young; Lyrics by Sammy Cahn,Written on the Wind,FALSE,written on the wind
midnight lace,midnight lace,1,TRUE,1960,1960,1960,1961,18,Best Performance by an Actress in a Motion Picture - Drama,Doris Day,Midnight Lace,FALSE,midnight lace,1960,1961,33,COSTUME DESIGN (Color),Irene,Midnight Lace,FALSE,midnight lace
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cantinflas,Pepe,FALSE,pepe,1960,1961,33,ART DIRECTION (Color),Art Direction:  Ted Haworth;  Set Decoration:  William Kiernan,Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cantinflas,Pepe,FALSE,pepe,1960,1961,33,CINEMATOGRAPHY (Color),Joe MacDonald,Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cantinflas,Pepe,FALSE,pepe,1960,1961,33,COSTUME DESIGN (Color),Edith Head,Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cantinflas,Pepe,FALSE,pepe,1960,1961,33,FILM EDITING,"Viola Lawrence, Al Clark",Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cantinflas,Pepe,FALSE,pepe,1960,1961,33,MUSIC (Scoring of a Musical Picture),Johnny Green,Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cantinflas,Pepe,FALSE,pepe,1960,1961,33,MUSIC (Song),Music by Andre Previn; Lyrics by Dory Langdon,Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cantinflas,Pepe,FALSE,pepe,1960,1961,33,SOUND,"Columbia Studio Sound Department, Charles Rice, Sound Director",Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Best Original Score - Motion Picture,Johnny Green,Pepe,FALSE,pepe,1960,1961,33,ART DIRECTION (Color),Art Direction:  Ted Haworth;  Set Decoration:  William Kiernan,Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Best Original Score - Motion Picture,Johnny Green,Pepe,FALSE,pepe,1960,1961,33,CINEMATOGRAPHY (Color),Joe MacDonald,Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Best Original Score - Motion Picture,Johnny Green,Pepe,FALSE,pepe,1960,1961,33,COSTUME DESIGN (Color),Edith Head,Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Best Original Score - Motion Picture,Johnny Green,Pepe,FALSE,pepe,1960,1961,33,FILM EDITING,"Viola Lawrence, Al Clark",Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Best Original Score - Motion Picture,Johnny Green,Pepe,FALSE,pepe,1960,1961,33,MUSIC (Scoring of a Musical Picture),Johnny Green,Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Best Original Score - Motion Picture,Johnny Green,Pepe,FALSE,pepe,1960,1961,33,MUSIC (Song),Music by Andre Previn; Lyrics by Dory Langdon,Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Best Original Score - Motion Picture,Johnny Green,Pepe,FALSE,pepe,1960,1961,33,SOUND,"Columbia Studio Sound Department, Charles Rice, Sound Director",Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Picture - Musical,George Sidney,Pepe,FALSE,pepe,1960,1961,33,ART DIRECTION (Color),Art Direction:  Ted Haworth;  Set Decoration:  William Kiernan,Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Picture - Musical,George Sidney,Pepe,FALSE,pepe,1960,1961,33,CINEMATOGRAPHY (Color),Joe MacDonald,Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Picture - Musical,George Sidney,Pepe,FALSE,pepe,1960,1961,33,COSTUME DESIGN (Color),Edith Head,Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Picture - Musical,George Sidney,Pepe,FALSE,pepe,1960,1961,33,FILM EDITING,"Viola Lawrence, Al Clark",Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Picture - Musical,George Sidney,Pepe,FALSE,pepe,1960,1961,33,MUSIC (Scoring of a Musical Picture),Johnny Green,Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Picture - Musical,George Sidney,Pepe,FALSE,pepe,1960,1961,33,MUSIC (Song),Music by Andre Previn; Lyrics by Dory Langdon,Pepe,FALSE,pepe
pepe,pepe,1,TRUE,1960,1960,1960,1961,18,Picture - Musical,George Sidney,Pepe,FALSE,pepe,1960,1961,33,SOUND,"Columbia Studio Sound Department, Charles Rice, Sound Director",Pepe,FALSE,pepe
murder inc,murder inc,1,TRUE,1960,1960,1960,1961,18,New Star Of The Year - Actor,Peter Falk,"Murder, Inc.",FALSE,murder inc,1960,1961,33,ACTOR IN A SUPPORTING ROLE,Peter Falk,"Murder, Inc.",FALSE,murder inc
bachelor in paradise,bachelor in paradise,1,TRUE,1961,1961,1961,1962,19,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bob Hope,Bachelor In Paradise,FALSE,bachelor in paradise,1961,1962,34,MUSIC (Song),Music by Henry Mancini; Lyrics by Mack David,Bachelor in Paradise,FALSE,bachelor in paradise
the roman spring of mrs stone,the roman spring of mrs stone,1,TRUE,1961,1961,1961,1962,19,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lotte Lenya,The Roman Spring of Mrs. Stone,FALSE,the roman spring of mrs stone,1961,1962,34,ACTRESS IN A SUPPORTING ROLE,Lotte Lenya,The Roman Spring of Mrs. Stone,FALSE,the roman spring of mrs stone
the roman spring of mrs stone,the roman spring of mrs stone,1,TRUE,1961,1961,2003,2004,61,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Helen Mirren,The Roman Spring Of Mrs. Stone,FALSE,the roman spring of mrs stone,1961,1962,34,ACTRESS IN A SUPPORTING ROLE,Lotte Lenya,The Roman Spring of Mrs. Stone,FALSE,the roman spring of mrs stone
harry and the butler,harry and the butler,1,TRUE,1961,1961,1961,1962,19,Samuel Goldwyn International Award,Denmark,Harry and The Butler,FALSE,harry and the butler,1961,1962,34,FOREIGN LANGUAGE FILM,Denmark,Harry and the Butler,FALSE,harry and the butler
two women,two women,1,TRUE,1961,1961,1961,1962,19,Foreign Film - Foreign Language,"Italy, Vittorio De Sica",Two Women,TRUE,two women,1961,1962,34,ACTRESS,Sophia Loren,Two Women,TRUE,two women
the four days of naples,the four days of naples,1,TRUE,1963,1962,1963,1964,21,Foreign Film - Foreign Language,"Italy, Nanni Loy",The Four Days Of Naples,FALSE,the four days of naples,1962,1963,35,FOREIGN LANGUAGE FILM,Italy,The Four Days of Naples,FALSE,the four days of naples
the four days of naples,the four days of naples,1,TRUE,1963,1962,1963,1964,21,Foreign Film - Foreign Language,"Italy, Nanni Loy",The Four Days Of Naples,FALSE,the four days of naples,1963,1964,36,WRITING (Story and Screenplay--written directly for the screen),"Story by Pasquale Festa Campanile, Massimo Franciosa, Nanni Loy, Vasco Pratolini;  Screenplay by Carlo Bernari, Pasquale Festa Campanile, Massimo Franciosa, Nanni Loy",The Four Days of Naples,FALSE,the four days of naples
cheyenne autumn,cheyenne autumn,1,TRUE,1964,1964,1964,1965,22,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmond O'Brien,Cheyenne Autumn,FALSE,cheyenne autumn,1964,1965,37,CINEMATOGRAPHY (Color),William H. Clothier,Cheyenne Autumn,FALSE,cheyenne autumn
cheyenne autumn,cheyenne autumn,1,TRUE,1964,1964,1964,1965,22,Best Performance by an Actor in a Supporting Role in any Motion Picture,Gilbert Roland,Cheyenne Autumn,FALSE,cheyenne autumn,1964,1965,37,CINEMATOGRAPHY (Color),William H. Clothier,Cheyenne Autumn,FALSE,cheyenne autumn
inside daisy clover,inside daisy clover,1,TRUE,1965,1965,1965,1966,23,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ruth Gordon,Inside Daisy Clover,TRUE,inside daisy clover,1965,1966,38,ACTRESS IN A SUPPORTING ROLE,Ruth Gordon,Inside Daisy Clover,FALSE,inside daisy clover
inside daisy clover,inside daisy clover,1,TRUE,1965,1965,1965,1966,23,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ruth Gordon,Inside Daisy Clover,TRUE,inside daisy clover,1965,1966,38,ART DIRECTION (Color),Art Direction:  Robert Clatworthy;  Set Decoration:  George James Hopkins,Inside Daisy Clover,FALSE,inside daisy clover
inside daisy clover,inside daisy clover,1,TRUE,1965,1965,1965,1966,23,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ruth Gordon,Inside Daisy Clover,TRUE,inside daisy clover,1965,1966,38,COSTUME DESIGN (Color),"Edith Head, Bill Thomas",Inside Daisy Clover,FALSE,inside daisy clover
inside daisy clover,inside daisy clover,1,TRUE,1965,1965,1965,1966,23,New Star Of The Year - Actor,Robert Redford,Inside Daisy Clover,TRUE,inside daisy clover,1965,1966,38,ACTRESS IN A SUPPORTING ROLE,Ruth Gordon,Inside Daisy Clover,FALSE,inside daisy clover
inside daisy clover,inside daisy clover,1,TRUE,1965,1965,1965,1966,23,New Star Of The Year - Actor,Robert Redford,Inside Daisy Clover,TRUE,inside daisy clover,1965,1966,38,ART DIRECTION (Color),Art Direction:  Robert Clatworthy;  Set Decoration:  George James Hopkins,Inside Daisy Clover,FALSE,inside daisy clover
inside daisy clover,inside daisy clover,1,TRUE,1965,1965,1965,1966,23,New Star Of The Year - Actor,Robert Redford,Inside Daisy Clover,TRUE,inside daisy clover,1965,1966,38,COSTUME DESIGN (Color),"Edith Head, Bill Thomas",Inside Daisy Clover,FALSE,inside daisy clover
inside daisy clover,inside daisy clover,1,TRUE,1965,1965,1965,1966,23,Actress In A Leading Role - Musical Or Comedy,Natalie Wood,Inside Daisy Clover,FALSE,inside daisy clover,1965,1966,38,ACTRESS IN A SUPPORTING ROLE,Ruth Gordon,Inside Daisy Clover,FALSE,inside daisy clover
inside daisy clover,inside daisy clover,1,TRUE,1965,1965,1965,1966,23,Actress In A Leading Role - Musical Or Comedy,Natalie Wood,Inside Daisy Clover,FALSE,inside daisy clover,1965,1966,38,ART DIRECTION (Color),Art Direction:  Robert Clatworthy;  Set Decoration:  George James Hopkins,Inside Daisy Clover,FALSE,inside daisy clover
inside daisy clover,inside daisy clover,1,TRUE,1965,1965,1965,1966,23,Actress In A Leading Role - Musical Or Comedy,Natalie Wood,Inside Daisy Clover,FALSE,inside daisy clover,1965,1966,38,COSTUME DESIGN (Color),"Edith Head, Bill Thomas",Inside Daisy Clover,FALSE,inside daisy clover
gambit,gambit,1,TRUE,1966,1966,1966,1967,24,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Caine,Gambit,FALSE,gambit,1966,1967,39,ART DIRECTION (Color),"Art Direction:  Alexander Golitzen, George C. Webb;  Set Decoration:  John McCarthy, John Austin",Gambit,FALSE,gambit
gambit,gambit,1,TRUE,1966,1966,1966,1967,24,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Caine,Gambit,FALSE,gambit,1966,1967,39,COSTUME DESIGN (Color),Jean Louis,Gambit,FALSE,gambit
gambit,gambit,1,TRUE,1966,1966,1966,1967,24,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Caine,Gambit,FALSE,gambit,1966,1967,39,SOUND,"Universal City Studio Sound Department, Waldon O. Watson, Sound Director",Gambit,FALSE,gambit
gambit,gambit,1,TRUE,1966,1966,1966,1967,24,Actress In A Leading Role - Musical Or Comedy,Shirley MacLaine,Gambit,FALSE,gambit,1966,1967,39,ART DIRECTION (Color),"Art Direction:  Alexander Golitzen, George C. Webb;  Set Decoration:  John McCarthy, John Austin",Gambit,FALSE,gambit
